# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:20:57
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3242	0
3242.05	-5.8762605e-05
3242.1	-0.00019833212
3242.15	-0.00036448069
3242.2	-0.00051696147
3242.25	-0.00053859016
3242.3	-0.00048280662
3242.35	-0.00014679279
3242.4	0.00034344842
3242.45	0.0010113866
3242.5	0.0018161742
3242.55	0.0029674406
3242.6	0.0041450235
3242.65	0.0055943413
3242.7	0.0068887596
3242.75	0.0081594615
3242.8	0.0088318655
3242.85	0.0089755285
3242.9	0.0078755962
3242.95	0.0057691156
3243	0.0023801683
3243.05	-0.0017656362
3243.1	-0.0084826837
3243.15	-0.016385473
3243.2	-0.027145189
3243.25	-0.039642452
3243.3	-0.055439886
3243.35	-0.072624333
3243.4	-0.093879961
3243.45	-0.11635646
3243.5	-0.1403036
3243.55	-0.16650664
3243.6	-0.19669407
3243.65	-0.22853148
3243.7	-0.26173873
3243.75	-0.29558755
3243.8	-0.33080648
3243.85	-0.36493252
3243.9	-0.40134714
3243.95	-0.43538847
3244	-0.47025851
3244.05	-0.50261142
3244.1	-0.53636555
3244.15	-0.56604991
3244.2	-0.59771086
3244.25	-0.62882654
3244.3	-0.65742965
3244.35	-0.68083708
3244.4	-0.70103508
3244.45	-0.70961427
3244.5	-0.7189857
3244.55	-0.72387768
3244.6	-0.72285576
3244.65	-0.71091959
3244.7	-0.70376636
3244.75	-0.68827437
3244.8	-0.66882261
3244.85	-0.64413189
3244.9	-0.61956787
3244.95	-0.58916093
3245	-0.55778118
3245.05	-0.52113539
3245.1	-0.48569064
3245.15	-0.44919929
3245.2	-0.40919637
3245.25	-0.36564764
3245.3	-0.32813
3245.35	-0.28751177
3245.4	-0.25422439
3245.45	-0.22591475
3245.5	-0.20755737
3245.55	-0.18584626
3245.6	-0.1725545
3245.65	-0.16143403
3245.7	-0.16401556
3245.75	-0.17783703
3245.8	-0.20371678
3245.85	-0.22979186
3245.9	-0.26458758
3245.95	-0.30758902
3246	-0.35644734
3246.05	-0.39564716
3246.1	-0.4452519
3246.15	-0.49408872
3246.2	-0.54866964
3246.25	-0.60413796
3246.3	-0.67036156
3246.35	-0.72476937
3246.4	-0.7801151
3246.45	-0.83504842
3246.5	-0.89797668
3246.55	-0.95638421
3246.6	-1.0122734
3246.65	-1.0546431
3246.7	-1.0925002
3246.75	-1.1253782
3246.8	-1.1560587
3246.85	-1.1676308
3246.9	-1.1741044
3246.95	-1.1786799
3247	-1.1900823
3247.05	-1.1881874
3247.1	-1.1920028
3247.15	-1.186161
3247.2	-1.1869564
3247.25	-1.1682469
3247.3	-1.1505043
3247.35	-1.123783
3247.4	-1.1002968
3247.45	-1.0699388
3247.5	-1.0433885
3247.55	-1.0105303
3247.6	-0.98381857
3247.65	-0.94225549
3247.7	-0.91111171
3247.75	-0.87630627
3247.8	-0.84946355
3247.85	-0.80637068
3247.9	-0.77771168
3247.95	-0.74640829
3248	-0.72248327
3248.05	-0.69359598
3248.1	-0.67683332
3248.15	-0.6500811
3248.2	-0.63489916
3248.25	-0.62337026
3248.3	-0.6160983
3248.35	-0.60658305
3248.4	-0.60257804
3248.45	-0.5794793
3248.5	-0.56867937
3248.55	-0.54744512
3248.6	-0.54100218
3248.65	-0.53275023
3248.7	-0.53134458
3248.75	-0.52513311
3248.8	-0.52690301
3248.85	-0.52690847
3248.9	-0.53738871
3248.95	-0.54772798
3249	-0.56048153
3249.05	-0.5620618
3249.1	-0.5735525
3249.15	-0.57346337
3249.2	-0.57289538
3249.25	-0.56156248
3249.3	-0.55142239
3249.35	-0.53736097
3249.4	-0.53761836
3249.45	-0.53957425
3249.5	-0.55192717
3249.55	-0.55399811
3249.6	-0.56402633
3249.65	-0.57125191
3249.7	-0.59154891
3249.75	-0.6069091
3249.8	-0.62562993
3249.85	-0.63594328
3249.9	-0.64333802
3249.95	-0.63916839
3250	-0.64118658
3250.05	-0.63591645
3250.1	-0.62960993
3250.15	-0.61532522
3250.2	-0.60437567
3250.25	-0.59089588
3250.3	-0.58275898
3250.35	-0.56495903
3250.4	-0.55927371
3250.45	-0.54784621
3250.5	-0.53917316
3250.55	-0.51515264
3250.6	-0.49542408
3250.65	-0.46513797
3250.7	-0.44103378
3250.75	-0.41846711
3250.8	-0.40671265
3250.85	-0.38711233
3250.9	-0.37458433
3250.95	-0.35263203
3251	-0.34538736
3251.05	-0.32629818
3251.1	-0.31615127
3251.15	-0.30436362
3251.2	-0.30038362
3251.25	-0.29974241
3251.3	-0.31201893
3251.35	-0.32877022
3251.4	-0.35091716
3251.45	-0.37767529
3251.5	-0.41956534
3251.55	-0.46423574
3251.6	-0.51366241
3251.65	-0.55789399
3251.7	-0.61449712
3251.75	-0.66157135
3251.8	-0.71383523
3251.85	-0.75841968
