# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 4498 ps, Average over 67108 waveforms. Timestamp: 2018-03-03T15:51:41
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
4498	0
4498.05	7.0067288e-05
4498.1	0.0003560279
4498.15	0.00043446754
4498.2	0.0010083553
4498.25	0.00058205491
4498.3	0.0015077994
4498.35	0.00016321542
4498.4	0.0012703916
4498.45	-0.0014326038
4498.5	-7.2863266e-05
4498.55	-0.0050410226
4498.6	-0.0035901098
4498.65	-0.010548376
4498.7	-0.0082720559
4498.75	-0.017316806
4498.8	-0.013918827
4498.85	-0.024232486
4498.9	-0.018582952
4498.95	-0.0311241
4499	-0.022751754
4499.05	-0.036450594
4499.1	-0.026226422
4499.15	-0.041802863
4499.2	-0.026755948
4499.25	-0.041828965
4499.3	-0.024077519
4499.35	-0.042482659
4499.4	-0.018966683
4499.45	-0.03481958
4499.5	-0.0062197192
4499.55	-0.027012122
4499.6	0.0065613358
4499.65	-0.012273187
4499.7	0.023419832
4499.75	0.00079379387
4499.8	0.042301901
4499.85	0.019297018
4499.9	0.061989303
4499.95	0.032551485
4500	0.08115938
4500.05	0.048610731
4500.1	0.098576412
4500.15	0.060744277
4500.2	0.1157793
4500.25	0.07299179
4500.3	0.12459504
4500.35	0.075345482
4500.4	0.12639853
4500.45	0.067465842
4500.5	0.12372774
4500.55	0.062235408
4500.6	0.11325571
4500.65	0.033259017
4500.7	0.077416681
4500.75	-0.0070966016
4500.8	0.039499158
4500.85	-0.05001306
4500.9	-0.00071340442
4500.95	-0.091873141
4501	-0.032785116
4501.05	-0.12072104
4501.1	-0.056288784
4501.15	-0.13937551
4501.2	-0.061846662
4501.25	-0.15200235
4501.3	-0.075675252
4501.35	-0.16149811
4501.4	-0.068634035
4501.45	-0.15473
4501.5	-0.066250892
4501.55	-0.15478786
4501.6	-0.057819481
4501.65	-0.1542331
4501.7	-0.054029659
4501.75	-0.14807572
4501.8	-0.048976055
4501.85	-0.14589758
4501.9	-0.023444083
4501.95	-0.10715094
4502	0.014367427
4502.05	-0.067557475
4502.1	0.060841721
4502.15	-0.029811289
4502.2	0.096481396
4502.25	0.0081970503
4502.3	0.12678797
4502.35	0.018302419
4502.4	0.12954931
4502.45	0.025470329
4502.5	0.13125842
4502.55	0.011801673
4502.6	0.12641866
4502.65	0.0070790993
4502.7	0.094190489
4502.75	-0.041369864
4502.8	0.055540935
4502.85	-0.082442059
4502.9	-0.0021112063
4502.95	-0.15382731
4503	-0.065821386
4503.05	-0.20938697
4503.1	-0.13347866
4503.15	-0.28162497
4503.2	-0.18728688
4503.25	-0.34889161
4503.3	-0.29842401
4503.35	-0.45754125
4503.4	-0.37281209
4503.45	-0.53900256
4503.5	-0.47543079
4503.55	-0.62526151
4503.6	-0.54888889
4503.65	-0.70992246
4503.7	-0.63324015
4503.75	-0.76800081
4503.8	-0.6780629
4503.85	-0.82624014
4503.9	-0.73096071
4503.95	-0.856373
4504	-0.74314127
4504.05	-0.86460494
4504.1	-0.73531224
4504.15	-0.82413918
4504.2	-0.67066498
4504.25	-0.74201621
4504.3	-0.57290259
4504.35	-0.61984449
4504.4	-0.43865671
4504.45	-0.4909647
4504.5	-0.31491882
4504.55	-0.35455375
4504.6	-0.16749966
4504.65	-0.19286897
4504.7	0.0077958821
4504.75	-0.024238298
4504.8	0.18129333
4504.85	0.15802497
4504.9	0.34812909
4504.95	0.29999937
4505	0.48117578
4505.05	0.43582188
4505.1	0.61003601
4505.15	0.55319504
4505.2	0.72663382
4505.25	0.65517391
4505.3	0.8020701
4505.35	0.71947601
4505.4	0.86211526
4505.45	0.76360935
4505.5	0.89208577
4505.55	0.79351029
4505.6	0.91078704
4505.65	0.78883178
4505.7	0.8977238
4505.75	0.76785175
4505.8	0.85203111
4505.85	0.70827134
4505.9	0.79959306
4505.95	0.65969051
4506	0.7454647
4506.05	0.60675224
4506.1	0.69122765
4506.15	0.54758293
4506.2	0.62129752
4506.25	0.47585289
4506.3	0.56427238
4506.35	0.42417792
4506.4	0.515285
4506.45	0.39133337
4506.5	0.51165288
4506.55	0.40878089
4506.6	0.53877709
4506.65	0.44362817
4506.7	0.58066714
4506.75	0.474098
4506.8	0.60260671
4506.85	0.50775883
4506.9	0.64893469
4506.95	0.54531644
4507	0.68319261
4507.05	0.59368672
4507.1	0.72462472
4507.15	0.61770588
4507.2	0.74189489
4507.25	0.64662364
4507.3	0.77592589
4507.35	0.67717896
4507.4	0.80341936
4507.45	0.70540822
4507.5	0.81702194
4507.55	0.69316763
4507.6	0.80807967
4507.65	0.69098254
4507.7	0.79512784
4507.75	0.65794517
4507.8	0.74664569
4507.85	0.59196912
4507.9	0.66524396
4507.95	0.50437547
4508	0.5680923
4508.05	0.39937341
4508.1	0.46746861
4508.15	0.30158237
4508.2	0.35511955
4508.25	0.17274033
4508.3	0.21950669
4508.35	0.036356202
4508.4	0.079297638
4508.45	-0.11253591
4508.5	-0.087167956
4508.55	-0.29276734
4508.6	-0.27346488
4508.65	-0.48287601
4508.7	-0.45247484
4508.75	-0.64378452
4508.8	-0.61014779
4508.85	-0.79845017
4508.9	-0.75382251
4508.95	-0.94655875
4509	-0.90607389
4509.05	-1.0861416
4509.1	-1.0279346
4509.15	-1.2034188
4509.2	-1.1616252
4509.25	-1.3421063
4509.3	-1.2957414
4509.35	-1.4792767
4509.4	-1.438343
4509.45	-1.6214202
4509.5	-1.5878726
4509.55	-1.7992137
4509.6	-1.7725047
4509.65	-1.9520431
4509.7	-1.9063954
4509.75	-2.0958611
4509.8	-2.0379201
4509.85	-2.194613
4509.9	-2.1111362
4509.95	-2.2211929
4510	-2.0621284
4510.05	-2.0764472
4510.1	-1.8041273
4510.15	-1.7045828
4510.2	-1.3097142
4510.25	-1.0658569
4510.3	-0.51601387
4510.35	-0.16733913
4510.4	0.42479093
4510.45	0.79947983
4510.5	1.4027713
4510.55	1.7349836
4510.6	2.2462749
4510.65	2.4620439
4510.7	2.8322358
4510.75	2.8759439
4510.8	3.0491835
4510.85	2.892366
4510.9	2.8563945
4510.95	2.506104
4511	2.3091436
4511.05	1.8117314
4511.1	1.4887311
4511.15	0.89744686
4511.2	0.51993849
4511.25	-0.098710502
4511.3	-0.48942945
4511.35	-1.0845932
4511.4	-1.4192602
4511.45	-1.9419649
4511.5	-2.1952733
4511.55	-2.6180856
4511.6	-2.7662246
4511.65	-3.0893445
4511.7	-3.1407389
4511.75	-3.3749827
4511.8	-3.3449481
4511.85	-3.5069098
4511.9	-3.41181
4511.95	-3.5113909
4512	-3.3562946
4512.05	-3.4300829
4512.1	-3.2771844
4512.15	-3.339175
4512.2	-3.1729809
4512.25	-3.2473476
4512.3	-3.087194
4512.35	-3.1472814
4512.4	-2.9826216
4512.45	-3.0445818
4512.5	-2.8741757
4512.55	-2.9338512
4512.6	-2.7812269
4512.65	-2.870479
4512.7	-2.7249912
4512.75	-2.8224976
4512.8	-2.7147024
4512.85	-2.847604
4512.9	-2.7524347
4512.95	-2.8986901
4513	-2.8251552
4513.05	-2.9871528
