# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T16:09:43
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3242	0
3242.05	3.6327909e-06
3242.1	1.4906636e-05
3242.15	6.5178065e-05
3242.2	0.00011000121
3242.25	0.00016680089
3242.3	0.00016383715
3242.35	0.00021507689
3242.4	0.00012776216
3242.45	9.0566204e-05
3242.5	-0.00010855118
3242.55	0.00011424412
3242.6	0.00010493495
3242.65	4.0235287e-05
3242.7	-0.00037219884
3242.75	-0.0007681106
3242.8	-0.0021110328
3242.85	-0.0035545419
3242.9	-0.0055950887
3242.95	-0.0077609084
3243	-0.011485115
3243.05	-0.015439161
3243.1	-0.019306656
3243.15	-0.023997591
3243.2	-0.029373157
3243.25	-0.034859815
3243.3	-0.043383858
3243.35	-0.050417779
3243.4	-0.058596866
3243.45	-0.064973835
3243.5	-0.074646185
3243.55	-0.084653149
3243.6	-0.09694099
3243.65	-0.10721131
3243.7	-0.12015897
3243.75	-0.13065468
3243.8	-0.14373585
3243.85	-0.15526116
3243.9	-0.16726719
3243.95	-0.17926131
3244	-0.19374148
3244.05	-0.20510249
3244.1	-0.21529871
3244.15	-0.22253416
3244.2	-0.2277703
3244.25	-0.23020274
3244.3	-0.23702153
3244.35	-0.23964459
3244.4	-0.23978805
3244.45	-0.23087009
3244.5	-0.22296744
3244.55	-0.21422425
3244.6	-0.2040183
3244.65	-0.19024112
3244.7	-0.17680263
3244.75	-0.15863793
3244.8	-0.14270777
3244.85	-0.12371519
3244.9	-0.10735058
3244.95	-0.086861769
3245	-0.065451329
3245.05	-0.040830955
3245.1	-0.020348911
3245.15	0.0060870017
3245.2	0.028363353
3245.25	0.049431141
3245.3	0.065243167
3245.35	0.080694284
3245.4	0.085428209
3245.45	0.089346443
3245.5	0.080478389
3245.55	0.070175157
3245.6	0.051165903
3245.65	0.030421605
3245.7	0.0033916518
3245.75	-0.02434716
3245.8	-0.05565163
3245.85	-0.087246588
3245.9	-0.13369417
3245.95	-0.19042775
3246	-0.25359948
3246.05	-0.3138548
3246.1	-0.39154512
3246.15	-0.46989019
3246.2	-0.55444879
3246.25	-0.63222985
3246.3	-0.71710013
3246.35	-0.79550074
3246.4	-0.88078356
3246.45	-0.95839243
3246.5	-1.0320387
3246.55	-1.1006829
3246.6	-1.1675554
3246.65	-1.2258419
3246.7	-1.2768851
3246.75	-1.314678
3246.8	-1.3458971
3246.85	-1.3615329
3246.9	-1.3785015
3246.95	-1.3854654
3247	-1.3943536
3247.05	-1.3889134
3247.1	-1.3787774
3247.15	-1.3543263
3247.2	-1.3298078
3247.25	-1.2948855
3247.3	-1.2601964
3247.35	-1.2184123
3247.4	-1.1791057
3247.45	-1.1261907
3247.5	-1.0771192
3247.55	-1.0210344
3247.6	-0.96137219
3247.65	-0.88612599
3247.7	-0.81239231
3247.75	-0.73652356
3247.8	-0.67115779
3247.85	-0.59832952
3247.9	-0.53656221
3247.95	-0.46834513
3248	-0.40938229
3248.05	-0.35661636
3248.1	-0.30943208
3248.15	-0.26300633
3248.2	-0.22918133
3248.25	-0.19589703
3248.3	-0.18362961
3248.35	-0.16867596
3248.4	-0.16601292
3248.45	-0.17017028
3248.5	-0.19178333
3248.55	-0.20769424
3248.6	-0.23490394
3248.65	-0.27043108
3248.7	-0.31470949
3248.75	-0.35159225
3248.8	-0.40808624
3248.85	-0.46558933
3248.9	-0.52367677
3248.95	-0.5710134
3249	-0.62918088
3249.05	-0.6861419
3249.1	-0.7463767
3249.15	-0.7970021
3249.2	-0.84180211
3249.25	-0.87830651
3249.3	-0.9102652
3249.35	-0.93710201
3249.4	-0.97493611
3249.45	-1.0044018
3249.5	-1.0321495
3249.55	-1.0499563
3249.6	-1.070382
3249.65	-1.0829295
3249.7	-1.0986203
3249.75	-1.0990483
3249.8	-1.0953702
3249.85	-1.0811992
3249.9	-1.0698736
3249.95	-1.0506321
3250	-1.0326134
3250.05	-1.0149226
3250.1	-0.98741863
3250.15	-0.95020027
3250.2	-0.91360991
3250.25	-0.87461392
3250.3	-0.84413908
3250.35	-0.81393301
3250.4	-0.78354549
3250.45	-0.74638806
3250.5	-0.72081456
3250.55	-0.6881551
3250.6	-0.670834
3250.65	-0.64267023
3250.7	-0.62102125
3250.75	-0.60060055
3250.8	-0.58579515
3250.85	-0.56877783
3250.9	-0.56152952
3250.95	-0.54775323
3251	-0.53721159
3251.05	-0.52785459
3251.1	-0.52403876
3251.15	-0.51238252
3251.2	-0.50679133
3251.25	-0.49715648
3251.3	-0.49196774
3251.35	-0.48169942
3251.4	-0.47488221
3251.45	-0.46736468
3251.5	-0.46215003
3251.55	-0.44908815
3251.6	-0.43764702
3251.65	-0.42972567
3251.7	-0.43453514
3251.75	-0.43181435
3251.8	-0.4431659
3251.85	-0.45404314
3251.9	-0.47058525
3251.95	-0.47878354
3252	-0.49200094
3252.05	-0.4994739
3252.1	-0.51780318
3252.15	-0.52608742
3252.2	-0.53611018
3252.25	-0.53903106
3252.3	-0.54129892
3252.35	-0.54329983
3252.4	-0.55733579
3252.45	-0.55847676
3252.5	-0.5665118
3252.55	-0.57139312
3252.6	-0.5865987
3252.65	-0.60349278
3252.7	-0.6184005
3252.75	-0.62639325
3252.8	-0.63032095
3252.85	-0.63099762
3252.9	-0.63338735
3252.95	-0.62656469
3253	-0.62721817
3253.05	-0.62037322
3253.1	-0.61445643
3253.15	-0.60791117
3253.2	-0.60011806
3253.25	-0.58487291
3253.3	-0.57306434
3253.35	-0.54930075
3253.4	-0.52872363
3253.45	-0.50558123
3253.5	-0.48875628
3253.55	-0.46428646
3253.6	-0.44846832
3253.65	-0.43252104
3253.7	-0.43272659
3253.75	-0.42825454
3253.8	-0.42751694
3253.85	-0.42645645
3253.9	-0.43477389
3253.95	-0.43610086
3254	-0.44789033
3254.05	-0.45592628
3254.1	-0.47028966
3254.15	-0.49219694
3254.2	-0.52308287
3254.25	-0.54923754
3254.3	-0.58327036
3254.35	-0.61676566
3254.4	-0.66064298
3254.45	-0.69597003
3254.5	-0.74859089
3254.55	-0.79236407
3254.6	-0.83482528
3254.65	-0.87275488
3254.7	-0.91368768
3254.75	-0.94981009
3254.8	-0.98840499
3254.85	-1.0286757
3254.9	-1.0727863
3254.95	-1.1146067
3255	-1.1604013
3255.05	-1.1976037
3255.1	-1.2471527
3255.15	-1.2847617
3255.2	-1.3217241
3255.25	-1.3602467
3255.3	-1.40835
3255.35	-1.4487548
3255.4	-1.4985758
3255.45	-1.5474745
3255.5	-1.6050558
