# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:54:40
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3242	0
3242.05	-6.2255122e-05
3242.1	-0.00020527623
3242.15	-0.00035043244
3242.2	-0.00048375264
3242.25	-0.00049647459
3242.3	-0.00036178319
3242.35	0.00013037304
3242.4	0.00073948661
3242.45	0.0015118754
3242.5	0.0025324935
3242.55	0.0037420094
3242.6	0.0048383421
3242.65	0.0059749868
3242.7	0.0064394062
3242.75	0.0070272391
3242.8	0.0065219114
3242.85	0.0060856978
3242.9	0.0044145018
3242.95	0.001487835
3243	-0.0026561202
3243.05	-0.0080419206
3243.1	-0.015022272
3243.15	-0.022140616
3243.2	-0.031604788
3243.25	-0.042949162
3243.3	-0.057986606
3243.35	-0.075189042
3243.4	-0.095639041
3243.45	-0.11700147
3243.5	-0.14258662
3243.55	-0.16887917
3243.6	-0.19819661
3243.65	-0.22905846
3243.7	-0.26355535
3243.75	-0.29726127
3243.8	-0.33676911
3243.85	-0.37332759
3243.9	-0.41167707
3243.95	-0.44788871
3244	-0.48679885
3244.05	-0.5231735
3244.1	-0.5581746
3244.15	-0.58985327
3244.2	-0.61997349
3244.25	-0.64413456
3244.3	-0.66631238
3244.35	-0.68303901
3244.4	-0.69796706
3244.45	-0.70572105
3244.5	-0.71556268
3244.55	-0.72100668
3244.6	-0.72370037
3244.65	-0.71664335
3244.7	-0.7106385
3244.75	-0.69454854
3244.8	-0.68000004
3244.85	-0.65997261
3244.9	-0.63947368
3244.95	-0.61210439
3245	-0.58335863
3245.05	-0.54840204
3245.1	-0.51449401
3245.15	-0.47060964
3245.2	-0.42843674
3245.25	-0.3839277
3245.3	-0.34614598
3245.35	-0.30425459
3245.4	-0.27227468
3245.45	-0.24395745
3245.5	-0.22933412
3245.55	-0.21816519
3245.6	-0.22223185
3245.65	-0.22220225
3245.7	-0.23153627
3245.75	-0.24225168
3245.8	-0.2589184
3245.85	-0.2836448
3245.9	-0.31599446
3245.95	-0.34922012
3246	-0.39495573
3246.05	-0.43961967
3246.1	-0.49425633
3246.15	-0.54799317
3246.2	-0.60716072
3246.25	-0.66337137
3246.3	-0.72854768
3246.35	-0.78932183
3246.4	-0.84409441
3246.45	-0.90181225
3246.5	-0.96938888
3246.55	-1.0278638
3246.6	-1.0938116
3246.65	-1.1480459
3246.7	-1.1954055
3246.75	-1.2283247
3246.8	-1.2645803
3246.85	-1.2877402
3246.9	-1.3075216
3246.95	-1.3061004
3247	-1.2991819
3247.05	-1.2813124
3247.1	-1.2748431
3247.15	-1.2559572
3247.2	-1.2426943
3247.25	-1.2272886
3247.3	-1.2063541
3247.35	-1.1826487
3247.4	-1.1696768
3247.45	-1.1449888
3247.5	-1.1305631
3247.55	-1.1044516
3247.6	-1.0862178
3247.65	-1.0565843
3247.7	-1.0330267
3247.75	-1.0043972
3247.8	-0.97640537
3247.85	-0.94437028
3247.9	-0.92027609
3247.95	-0.89072577
3248	-0.86779257
3248.05	-0.84055831
3248.1	-0.81958373
3248.15	-0.79469145
3248.2	-0.77158498
3248.25	-0.74326886
3248.3	-0.7240419
3248.35	-0.70592271
3248.4	-0.69271713
3248.45	-0.67591491
3248.5	-0.67189126
3248.55	-0.66990171
3248.6	-0.67786398
3248.65	-0.68077304
3248.7	-0.68683308
3248.75	-0.68981444
3248.8	-0.69268894
3248.85	-0.69211277
3248.9	-0.70074353
3248.95	-0.69897772
3249	-0.70849207
3249.05	-0.71103687
