# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 3242 ps, Average over 67108 waveforms. Timestamp: 2017-10-16T15:40:38
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
3242	0
3242.05	3.031764e-05
3242.1	9.6013726e-05
3242.15	0.00017214542
3242.2	0.00024077068
3242.25	0.00024313578
3242.3	0.00021213941
3242.35	0.00012661914
3242.4	-0.00014431496
3242.45	-0.00053032744
3242.5	-0.0010313567
3242.55	-0.0015642368
3242.6	-0.002216332
3242.65	-0.0025859972
3242.7	-0.0033752657
3242.75	-0.0034640442
3242.8	-0.0039423748
3242.85	-0.0041258982
3242.9	-0.0046338101
3242.95	-0.0039802424
3243	-0.0034745551
3243.05	-0.0018093968
3243.1	0.00026588664
3243.15	0.0031311393
3243.2	0.0061157929
3243.25	0.01072288
3243.3	0.015066667
3243.35	0.021457717
3243.4	0.028538636
3243.45	0.038874349
3243.5	0.047852332
3243.55	0.060000463
3243.6	0.072418035
3243.65	0.086934389
3243.7	0.10241119
3243.75	0.12157567
3243.8	0.1398898
3243.85	0.15807561
3243.9	0.17218272
3243.95	0.18589462
3244	0.19744833
3244.05	0.21209992
3244.1	0.22203056
3244.15	0.23325386
3244.2	0.24282764
3244.25	0.25014705
3244.3	0.2531123
3244.35	0.25454401
3244.4	0.24680169
3244.45	0.2370753
3244.5	0.22080705
3244.55	0.20202735
3244.6	0.17607889
3244.65	0.15435311
3244.7	0.12065893
3244.75	0.085174204
3244.8	0.045077977
3244.85	0.0047016495
3244.9	-0.044917472
3244.95	-0.095076757
3245	-0.151042
3245.05	-0.20319632
3245.1	-0.26086946
3245.15	-0.31578514
3245.2	-0.37529612
3245.25	-0.42951265
3245.3	-0.48701805
3245.35	-0.53040041
3245.4	-0.58020252
3245.45	-0.62097368
3245.5	-0.66526775
3245.55	-0.69578337
3245.6	-0.7271349
3245.65	-0.75337507
3245.7	-0.77437625
3245.75	-0.78505616
3245.8	-0.7943268
3245.85	-0.78726207
3245.9	-0.77571754
3245.95	-0.75361522
3246	-0.72493638
3246.05	-0.6899309
3246.1	-0.65375754
3246.15	-0.60951188
3246.2	-0.56140081
3246.25	-0.50768326
3246.3	-0.45383164
3246.35	-0.38899742
3246.4	-0.3305593
3246.45	-0.26243485
3246.5	-0.18899895
3246.55	-0.10917053
3246.6	-0.044981923
3246.65	0.017188824
3246.7	0.077106318
3246.75	0.14028058
3246.8	0.19348696
3246.85	0.24690779
3246.9	0.2874548
3246.95	0.32752013
3247	0.35298202
3247.05	0.3768602
3247.1	0.38181292
3247.15	0.3858152
3247.2	0.37821491
3247.25	0.36111938
3247.3	0.32898833
3247.35	0.29578089
3247.4	0.25479808
3247.45	0.21351922
3247.5	0.17200207
3247.55	0.12899197
3247.6	0.069502972
3247.65	0.016624724
3247.7	-0.033810135
3247.75	-0.078406418
3247.8	-0.13237153
3247.85	-0.17064674
3247.9	-0.22016982
3247.95	-0.27022405
3248	-0.33040109
3248.05	-0.37506785
3248.1	-0.41918983
3248.15	-0.45214716
3248.2	-0.4794228
3248.25	-0.50338147
3248.3	-0.53211596
3248.35	-0.54740295
3248.4	-0.55564717
3248.45	-0.55399323
3248.5	-0.55361033
3248.55	-0.54740022
3248.6	-0.54262577
3248.65	-0.53358527
3248.7	-0.52815597
3248.75	-0.51279168
3248.8	-0.49966205
3248.85	-0.47106853
3248.9	-0.44842773
3248.95	-0.41582693
3249	-0.38873592
3249.05	-0.35602097
3249.1	-0.33032469
3249.15	-0.28975524
3249.2	-0.26022721
3249.25	-0.23172783
3249.3	-0.21319618
3249.35	-0.18840713
3249.4	-0.17420973
3249.45	-0.15445389
3249.5	-0.14278174
3249.55	-0.12775351
3249.6	-0.12043744
3249.65	-0.10801313
3249.7	-0.10326868
3249.75	-0.092097672
3249.8	-0.079998509
3249.85	-0.069509171
3249.9	-0.071478252
3249.95	-0.063204018
3250	-0.058861125
3250.05	-0.048085293
3250.1	-0.044358136
3250.15	-0.036839701
3250.2	-0.037229424
3250.25	-0.037771945
3250.3	-0.043745583
3250.35	-0.03453865
3250.4	-0.031186209
3250.45	-0.022959269
3250.5	-0.028590023
3250.55	-0.028008394
3250.6	-0.03870146
3250.65	-0.043844719
3250.7	-0.049901577
3250.75	-0.049857921
3250.8	-0.053462295
3250.85	-0.052648286
3250.9	-0.057240839
3250.95	-0.062701061
3251	-0.078069445
3251.05	-0.087668376
3251.1	-0.099252759
3251.15	-0.10431826
3251.2	-0.099100872
3251.25	-0.092374162
3251.3	-0.0939899
3251.35	-0.088255917
3251.4	-0.091948059
3251.45	-0.08815951
3251.5	-0.090068109
3251.55	-0.097775266
3251.6	-0.10760476
3251.65	-0.11228098
3251.7	-0.12251384
3251.75	-0.11771165
3251.8	-0.11227507
3251.85	-0.1004433
3251.9	-0.084568323
3251.95	-0.055016186
3252	-0.029322176
3252.05	0.00025360868
3252.1	0.020442832
3252.15	0.042592951
3252.2	0.060691219
3252.25	0.07952073
3252.3	0.087457993
3252.35	0.093244727
3252.4	0.097300671
3252.45	0.098452106
3252.5	0.090834081
3252.55	0.091133763
3252.6	0.085212422
3252.65	0.092164234
3252.7	0.082045975
