# Menlo Systems GmbH TERAScan++
# Program Version 1.0.96
# Start: 4498 ps, Average over 67108 waveforms. Timestamp: 2018-03-03T16:19:14
# Window type: Tukey, parameters: alpha = 0.1
# Time [ps]	THz Signal [a.u.]
4498	0
4498.05	-1.0065709e-05
4498.1	6.9374394e-05
4498.15	-0.0001463749
4498.2	0.00022394712
4498.25	-0.00040208245
4498.3	0.00059386083
4498.35	-0.00053771777
4498.4	0.0013961106
4498.45	-0.00066853333
4498.5	0.0021166422
4498.55	-0.001401745
4498.6	0.0023206125
4498.65	-0.0030164977
4498.7	0.0019476375
4498.75	-0.0050908041
4498.8	0.0011266297
4498.85	-0.0084534896
4498.9	-7.3915816e-05
4498.95	-0.011584644
4499	-0.00051313808
4499.05	-0.013740708
4499.1	-0.0023227331
4499.15	-0.020804421
4499.2	-0.0078269031
4499.25	-0.029791545
4499.3	-0.015739993
4499.35	-0.040412796
4499.4	-0.022818668
4499.45	-0.053593244
4499.5	-0.038140024
4499.55	-0.073363615
4499.6	-0.055510407
4499.65	-0.097928739
4499.7	-0.079248198
4499.75	-0.12393533
4499.8	-0.10122888
4499.85	-0.15243584
4499.9	-0.1278671
4499.95	-0.18257557
4500	-0.15321623
4500.05	-0.213274
4500.1	-0.1852895
4500.15	-0.25038591
4500.2	-0.21337197
4500.25	-0.27934459
4500.3	-0.24358188
4500.35	-0.31681787
4500.4	-0.27341457
4500.45	-0.34534477
4500.5	-0.29937336
4500.55	-0.3769974
4500.6	-0.31807753
4500.65	-0.39210784
4500.7	-0.3279024
4500.75	-0.40073949
4500.8	-0.32620641
4500.85	-0.40367618
4500.9	-0.32467945
4500.95	-0.39833482
4501	-0.30622987
4501.05	-0.37984059
4501.1	-0.28539561
4501.15	-0.35969015
4501.2	-0.25624091
4501.25	-0.32770177
4501.3	-0.21512516
4501.35	-0.29237951
4501.4	-0.18038268
4501.45	-0.26582597
4501.5	-0.15014898
4501.55	-0.23953775
4501.6	-0.12852871
4501.65	-0.22352456
4501.7	-0.10410772
4501.75	-0.20073628
4501.8	-0.087776094
4501.85	-0.19076858
4501.9	-0.069128639
4501.95	-0.17066518
4502	-0.053760808
4502.05	-0.1731573
4502.1	-0.056853447
4502.15	-0.17645562
4502.2	-0.070569085
4502.25	-0.21075835
4502.3	-0.11097981
4502.35	-0.24732442
4502.4	-0.1478656
4502.45	-0.29153531
4502.5	-0.18105536
4502.55	-0.31902293
4502.6	-0.22383141
4502.65	-0.37286402
4502.7	-0.27381125
4502.75	-0.43646091
4502.8	-0.34539224
4502.85	-0.49008366
4502.9	-0.39324127
4502.95	-0.55033251
4503	-0.46075513
4503.05	-0.61927164
4503.1	-0.5335634
4503.15	-0.69000259
4503.2	-0.60158538
4503.25	-0.75820102
4503.3	-0.66445956
4503.35	-0.82956999
4503.4	-0.7589168
4503.45	-0.93452612
4503.5	-0.84761096
4503.55	-1.0183208
4503.6	-0.93532103
4503.65	-1.0746588
4503.7	-0.9748268
4503.75	-1.1245802
4503.8	-1.0124031
4503.85	-1.1367912
4503.9	-1.0249211
4503.95	-1.1549423
4504	-1.030354
4504.05	-1.1540196
4504.1	-1.0221757
4504.15	-1.136774
4504.2	-1.0052548
4504.25	-1.1156111
4504.3	-0.97320515
4504.35	-1.0832427
4504.4	-0.94017461
4504.45	-1.0431607
4504.5	-0.88621405
4504.55	-0.98649622
4504.6	-0.85786928
4504.65	-0.97690593
4504.7	-0.85110983
4504.75	-0.97036977
4504.8	-0.83873645
4504.85	-0.95699184
4504.9	-0.83323939
4504.95	-0.96137884
4505	-0.83355817
4505.05	-0.95908006
4505.1	-0.85415031
4505.15	-0.98567903
4505.2	-0.86626175
4505.25	-1.0113503
4505.3	-0.90254696
4505.35	-1.0449907
4505.4	-0.94821874
4505.45	-1.1064951
4505.5	-1.0163349
4505.55	-1.1786913
4505.6	-1.0867038
4505.65	-1.2362262
4505.7	-1.1441428
4505.75	-1.3029035
4505.8	-1.2150479
4505.85	-1.3894426
4505.9	-1.3133715
4505.95	-1.4732209
4506	-1.3704484
4506.05	-1.5223606
4506.1	-1.4167764
4506.15	-1.5433101
4506.2	-1.42449
4506.25	-1.5631142
4506.3	-1.4504941
4506.35	-1.575011
4506.4	-1.4513813
4506.45	-1.5711611
4506.5	-1.4281839
4506.55	-1.5205939
4506.6	-1.3685271
4506.65	-1.4659389
4506.7	-1.3027516
4506.75	-1.3813416
4506.8	-1.2307323
4506.85	-1.3200486
4506.9	-1.1529054
4506.95	-1.2316751
4507	-1.0654437
4507.05	-1.1437176
4507.1	-0.96015783
4507.15	-1.032771
4507.2	-0.86029903
4507.25	-0.93194767
4507.3	-0.76363305
4507.35	-0.84925762
4507.4	-0.68857694
4507.45	-0.78488185
4507.5	-0.62761727
4507.55	-0.72788444
4507.6	-0.58461945
4507.65	-0.6893814
4507.7	-0.54599771
4507.75	-0.65251456
4507.8	-0.50367747
4507.85	-0.60205696
4507.9	-0.46109938
4507.95	-0.5788982
4508	-0.44586333
4508.05	-0.55408686
4508.1	-0.41107971
4508.15	-0.51529187
4508.2	-0.36872264
4508.25	-0.4748634
4508.3	-0.32711772
4508.35	-0.43223438
4508.4	-0.28969608
4508.45	-0.40149943
4508.5	-0.26238178
4508.55	-0.36995001
4508.6	-0.22579598
4508.65	-0.33236648
4508.7	-0.19356989
4508.75	-0.3128412
4508.8	-0.17809055
4508.85	-0.29239049
4508.9	-0.16542431
4508.95	-0.29480614
4509	-0.16730789
4509.05	-0.28909626
4509.1	-0.16819875
4509.15	-0.29506671
4509.2	-0.15627831
4509.25	-0.27768104
4509.3	-0.15811733
4509.35	-0.28416491
4509.4	-0.15760937
4509.45	-0.28942323
4509.5	-0.1781724
4509.55	-0.31292442
4509.6	-0.20192598
4509.65	-0.33742879
4509.7	-0.2307014
4509.75	-0.37291319
4509.8	-0.25688472
4509.85	-0.39158717
4509.9	-0.28948098
4509.95	-0.42951859
4510	-0.30851104
